age,gender,height_cm,weight_kg,Excersise,class
24,M,176,67.2,0,A
39,M,168.8,70.9,0,D
27,M,170.3,74.6,1,B
33,M,172.8,78.8,0,A
28,F,163.6,52.4,1,C
28,F,166.2,59.7,0,B
35,M,179.2,64.7,0,A
34,M,177.8,76.4,1,C
35,M,184.7,84.18,0,A
34,M,173.2,73.77,1,B
25,M,164.3,61.18,1,C
32,M,169.2,68.7,1,B
21,F,169.1,56.1,1,C
22,M,183.5,76.9,0,A
22,F,156.9,46.9,0,B
24,M,172.1,64.5,1,B
27,M,178.2,75.1,0,A
21,F,164.4,48.1,0,A
46,F,164.1,49.1,0,D
29,F,162.2,51.7,0,A
23,F,162.7,51.7,0,D
51,M,177.9,67.2,0,D
28,M,184.8,84.6,1,B
23,F,164.7,44.3,1,C
30,M,178.3,93.5,0,A
25,F,160.1,51.7,0,A
28,M,172.7,69.8,1,C
22,M,178.3,73.2,1,C
51,M,167.7,72.7,0,D
24,F,165.1,49.9,0,A
27,F,160.3,47.8,0,A
61,F,153.2,62.2,0,D
30,M,169.5,71.9,1,B
42,M,180.2,73.3,1,C
22,M,180.3,91.7,0,D
23,F,164.7,62.5,1,C
27,F,160.2,54.5,1,C
29,M,167.9,70.7,1,B
62,M,165.6,67.6,0,B
21,M,169.2,92.9,0,D
25,M,184.1,74.7,1,C
31,F,166.9,64.1,0,B
21,M,175,66.4,1,C
38,M,171.6,66.3,1,B
23,F,178.1,64.2,1,C
56,M,170.1,61.5,0,A
59,M,170.3,71,0,D
23,F,164.4,54.3,0,A
52,M,170,75.5,0,D
33,M,178,74.66,1,C
58,F,154.9,51.6,0,B
21,F,160.9,61.4,1,C
27,M,176,72.86,1,B
27,M,173.5,65.3,1,C
21,F,163,62.3,1,C
57,M,168.5,66,0,B
29,F,166.7,52.84,0,A
45,M,170,70,0,D
24,F,155.5,64.4,0,B
50,F,163.9,52.5,0,B
60,M,173,68.4,0,A
62,M,163.7,63.9,0,B
39,F,159.2,45.3,0,B
22,F,162.2,60.4,1,A
54,F,156.5,52.2,1,C
48,M,167.2,68.5,1,C
61,F,160.9,63.1,1,A
60,M,172.5,76,0,A
27,M,168.6,67.2,1,C
40,F,162.5,51.4,0,A
36,M,172.1,65.64,1,B
58,M,168.5,74.9,0,B
55,F,152.8,55.6,1,C
25,F,158.1,57.9,1,C
21,M,169.6,64.5,0,A
23,F,163.8,57.5,1,A
64,M,165.8,61.3,0,B
21,M,187.4,84.4,1,B
56,F,149.4,51.6,1,C
22,M,167.3,61.4,0,A
28,F,165.4,62,1,C
53,F,152.7,46.9,0,B
23,M,165.7,62.7,0,D
46,M,176.8,80.9,0,A
56,F,148.2,54.7,0,D
44,M,172,71,0,A
27,M,173.8,68.4,1,B
45,M,166.5,71.5,0,A
63,M,164.7,73.8,0,D
26,M,183.4,83.6,0,A
32,M,170.8,72.2,1,B
22,F,167,50.3,0,A
21,M,175,84.7,0,D
21,M,178.9,75.5,1,B
54,F,148,53.4,0,A
21,M,179,82.8,1,B
24,M,163.9,64.8,1,C
31,M,178,84.66,0,A
27,M,180.9,77.1,1,B
22,F,163.8,54.2,0,B
61,F,152.6,56.4,0,D
60,M,171.9,60.9,0,B
41,F,160,50,0,A
59,M,166.1,67.8,0,B
51,M,174.5,71.2,1,C
34,M,181.1,70.5,1,C
22,F,169.2,53.2,0,A
22,F,162.1,55.1,1,A
23,F,161.8,47.8,0,A
27,F,152.3,55.5,0,D
25,F,160.9,63.7,0,B
37,F,149.5,38.1,0,A
21,M,170,50.1,1,C
31,M,174,67.6,1,C
49,M,176.2,73.3,1,C
27,M,182.5,81,1,C
49,F,155.9,57,1,C
36,F,156.6,55,1,C
33,M,179.2,76.3,0,D
61,F,146.5,56.16,0,B
24,F,166.9,70,1,A
25,M,168.8,63.9,1,B
28,F,161.4,55.9,0,B
26,F,162.6,57.2,1,A
62,M,175,68,1,C
51,M,172.4,75.6,0,A
26,M,180.2,103.4,1,B
21,F,160.7,56.6,0,B
56,F,149,46.7,0,A
52,M,165.4,74.8,0,B
21,F,169.2,64.9,0,B
56,F,157.2,60.4,1,C
36,M,169.9,67.1,1,B
32,F,163.5,55.6,1,A
21,F,159.9,49.7,0,D
63,M,165.8,63.9,0,B
32,M,168,69.8,0,A
28,M,175.1,75.5,1,B
40,M,169.8,84.1,1,B
26,F,158.8,56.9,0,B
56,F,156.9,49.9,0,D
22,M,168.4,69.9,0,A
29,M,172.7,72.6,0,D
61,M,171.6,86.4,0,D
54,F,162.9,51.4,1,C
56,M,168.8,66.4,1,C
36,M,173,72.7,1,C
24,M,167.5,65.66,1,C
59,F,145.7,51.6,1,C
23,F,158.2,47.9,1,C
41,M,179.3,73.4,1,B
35,M,169.9,61.7,1,C
30,M,163.7,65.5,1,B
44,F,167.8,63.8,1,C
28,M,170,74,0,D
22,M,169.5,65,0,D
21,M,187.9,74.7,1,C
53,M,170,75.1,0,D
21,F,158.4,48.9,0,A
63,F,157.6,58.2,0,B
23,F,161.1,53,0,D
62,M,174.7,71.9,0,A
32,M,179.7,90,0,D
38,M,172.3,71.6,1,C
24,M,180.3,80.2,0,A
23,M,183.3,79.4,1,C
63,M,172.4,71.66,0,A
27,M,178.8,73.38,0,A
59,F,158.2,54.34,0,A
36,F,166.5,53.7,0,A
34,F,167.5,65.8,0,B
23,M,180.4,90.5,0,D
21,F,158.8,49.7,0,D
24,M,177,89.9,1,C
55,M,170,75.5,0,B
43,M,169,68.6,0,A
22,F,159.3,54,0,B
46,M,173.9,69.4,0,A
24,M,176,77.5,0,D
56,F,164,57.6,1,A
28,M,171.4,76.8,0,D
53,F,160.4,59.3,0,D
30,M,179.2,76.5,0,A
21,F,153,56.9,0,D
59,F,162,65.3,1,C
27,F,164.6,56.9,1,A
38,M,179.9,82.2,1,B
41,M,167.9,72.4,1,B
21,F,168.4,60.2,0,B
23,F,163.7,53.4,1,C
21,F,166.3,47.6,1,C
63,M,160.5,68.2,0,A
22,M,182.9,72.4,1,C
28,M,170.3,52.5,0,D
25,F,154,57.9,1,C
39,M,176.9,90.1,1,C
22,M,180.6,80,1,C
30,M,170.2,62.9,0,A
30,M,185.2,108.9,0,D
24,F,162.8,59.7,0,B
64,M,163.8,68.5,0,B
22,F,166,68.8,1,A
64,F,155.5,60,0,D
26,M,170.1,67.1,1,B
39,F,159.3,50.6,0,A
50,M,165.2,67,0,B
45,F,159.2,59.1,1,A
52,F,150.3,49.1,0,D
25,M,184,75.7,0,A
25,M,175.3,63.7,1,B
35,M,177.3,82.7,1,B
63,M,169.4,76.1,0,B
31,M,167,71.1,0,A
42,F,158.1,51,0,B
25,F,158.6,46.2,1,C
24,F,156.1,49.4,1,C
22,M,175.1,67.5,1,C
26,M,172.9,83.3,0,D
22,F,166,54.9,1,C
46,M,168,58.7,1,C
37,M,181.2,86,1,B
28,M,170,84.2,1,C
24,M,176.1,74.8,0,D
27,M,170,75.9,0,D
28,M,171,74.6,0,D
23,F,163.5,58.5,1,C
39,M,170.8,68.9,1,C
55,F,154.6,58.9,0,B
41,M,176.2,93.1,0,D
36,F,165.8,55.78,0,B
29,M,172.7,71.8,0,A
35,M,173.1,77.6,1,B
41,M,177,81.7,1,C
23,F,161.8,58.7,1,C
22,M,175.8,73.3,1,C
52,F,159.5,55.2,1,C
63,F,175.1,81.2,0,D
64,M,159.3,56.5,0,D
41,M,175.7,81.2,1,B
22,F,158.5,49.3,0,B
21,F,170.5,67.8,0,D
44,M,177.4,87.9,0,D
50,F,157.3,51.1,0,A
26,M,180.8,69.26,0,D
53,M,167,65.7,1,C
29,M,185,85.8,1,B
47,M,177.7,87.7,0,D
25,M,179.4,74.3,0,A
40,F,159.1,50.4,0,A
51,F,161.2,47.8,1,C
40,F,163.3,47.7,0,A
27,F,169.8,64.9,1,C
24,M,179.4,78.1,0,D
28,M,171.4,68.3,1,C
43,M,174.6,104.9,0,D
54,M,176,68.9,0,B
23,F,167.2,54.8,1,C
28,M,175.4,69.9,1,B
29,M,170,66,1,C
54,M,163,75.5,0,D
23,M,178.6,83.9,1,C
35,F,158.3,70.1,0,D
29,F,161.4,61.8,0,B
37,M,174.1,80.2,0,D
29,M,178.8,72.9,1,C
45,M,160,59.3,1,B
22,F,159.1,51.3,0,D
47,M,174.3,78.1,1,C
44,M,176.9,85.2,0,D
26,F,161.9,53.9,0,A
32,M,165.9,74.8,0,A
48,F,161.5,49.4,1,C
56,M,162.3,56.68,0,D
26,M,180.6,73.4,0,D
22,M,177.1,71.4,1,B
43,F,166.2,51.8,0,B
37,F,170,63,1,A
33,F,162.7,53.9,0,A
48,M,168.6,71,1,C
22,M,175.8,66.6,0,D
27,M,173.9,79,0,D
38,M,171.4,71.7,0,A
62,M,164.5,64.02,0,B
31,M,176.5,69.3,1,B
22,M,175,69.8,0,A
29,M,179,79.1,1,B
22,M,170,73.6,1,C
50,F,153.9,43.8,0,B
32,M,176.3,71.8,1,B
46,M,163.5,71.1,0,D
31,M,178,78.2,1,B
22,M,179.6,70,1,B
28,M,176.2,83.7,1,C
31,M,173.7,83.8,0,D
59,M,165.7,57.6,0,A
34,F,162.1,79.3,0,D
37,M,170.8,60.5,1,C
64,F,153.2,50.1,0,B
63,F,147.4,52.1,1,C
25,F,160,53.1,1,C
57,F,159.2,68.6,0,D
41,M,177.1,74.9,0,A
27,M,179.5,87,1,C
48,M,166.9,69.5,0,B
26,F,157.6,50.1,0,A
30,M,179.5,90.8,0,A
34,M,175,71,1,B
23,M,182.7,67.6,0,D
30,M,185,77.9,1,C
25,M,175,72.6,1,B
25,M,174.3,79.68,1,C
35,M,184.6,79,1,C
54,F,162.4,56.2,0,B
50,F,154.6,53.2,0,B
21,M,175.1,103.6,0,D
64,F,163.6,55.2,1,A
24,M,173.6,71.2,1,C
39,F,167.8,65.7,0,B
21,M,183,80.1,1,C
27,M,165.8,73.8,0,D
36,M,166.7,74.1,0,A
23,F,162.7,63.9,1,C
24,F,164.8,52,0,B
62,F,162.4,68.1,1,C
39,F,161.5,52,1,C
62,F,155,50.7,1,C
22,F,154.8,59.3,1,C
64,F,158,62.3,0,D
22,M,172.1,80.2,0,D
22,M,172.9,76.3,1,C
24,F,165.2,53.7,1,C
43,M,171.3,65.76,1,C
25,M,176.4,70.4,0,D
36,F,156.1,48.9,1,C
49,M,181.9,73.4,0,D
54,F,150.9,54.4,0,B
56,M,173.7,76.3,0,A
24,M,179.3,86.4,0,D
46,M,176.1,69.2,0,A
24,F,160,51.8,1,C
21,M,174.8,78.7,1,C
21,F,160.8,48.9,0,B
25,F,168.1,57.5,0,B
21,M,169.5,61.6,1,C
51,M,169,69,1,C
21,M,175.8,66.26,1,C
21,M,171.6,72.5,0,D
44,F,157.6,46.8,0,D
62,F,153.3,54.9,0,B
63,M,174.4,71.8,1,C
38,F,163.1,61,1,A
38,F,166.2,60.4,0,B
52,M,163.4,61.3,0,A
31,M,177.8,89.3,1,C
54,F,157.1,66.2,0,B
24,M,170.6,69.9,0,A
28,M,174.5,69.4,0,D
35,M,171.5,76.2,1,C
25,M,171.4,69.4,1,B
32,M,164,65.8,1,C
27,F,160.4,55.68,1,A
63,M,166.8,58.4,1,C
26,M,167.3,63.3,1,B
28,M,167.8,65.5,1,C
35,F,159.4,55.7,1,C
56,M,171.4,75,0,A
24,F,166.6,66,0,B
42,M,181.6,79.6,1,C
27,M,180,92.6,0,D
46,M,172.5,78.7,0,B
28,M,173.3,70.8,1,C
48,M,175.3,96.7,0,D
28,M,171.6,62.2,1,C
37,M,169.3,73.84,0,D
35,M,168.1,67.1,1,B
37,M,170,83.6,1,B
28,F,167,60.5,1,A
30,M,171.5,70.7,0,A
50,M,167.8,76.1,0,A
22,F,167.4,66.2,1,C
46,M,170,77.1,1,C
31,F,165.1,55.1,0,D
54,F,164.6,67.1,1,A
36,F,155.4,49.9,0,A
37,M,171.9,96.6,0,D
37,M,172,73.1,1,C
21,M,183.5,88.7,0,D
62,F,152.7,59.8,0,D
47,F,153.5,54.4,1,C
24,F,160.4,58.7,1,A
26,M,174.8,81.8,1,B
29,F,161.1,55.9,0,D
60,F,155.1,52.2,0,B
45,M,174.5,87.7,0,D
61,F,164.7,82.3,0,D
63,M,163.9,57.6,0,A
22,F,152.9,45,0,A
21,M,185.9,69.5,1,B
32,M,177.3,77.5,0,A
26,F,164.5,63.2,1,A
22,M,179.3,75.1,1,C
28,F,159.5,48.8,0,A
28,F,160.6,53.3,0,A
30,F,167.2,61,1,A
26,F,159.3,49,0,B
63,F,156.9,55.9,0,D
22,F,164.2,47.4,0,B
23,M,173,66.8,0,A
42,M,172.2,70.9,1,B
24,M,172,70.6,1,C
33,M,186.8,117.5,0,D
34,M,170.6,71.7,0,A
24,F,168.2,54,0,B
22,F,164.3,59.44,1,C
33,F,154,54.7,0,D
60,M,165.5,74.2,0,B
25,M,171,77.4,1,B
27,M,182,80.8,0,D
26,M,177,79,1,B
56,F,159.5,50,0,A
63,M,159.3,64.6,1,C
22,M,169.3,62.3,0,D
24,F,160.7,58.2,0,B
38,M,173.5,77.7,1,B
54,M,171.5,72.9,1,C
25,M,182,93.5,1,C
59,F,148.2,53.3,0,D
22,F,163.2,52.4,0,A
24,F,167.9,55.9,0,D
24,F,164.9,55.4,1,A
22,M,175.6,96.4,0,D
55,F,161,61.9,1,C
46,F,163,63.8,0,D
22,F,168.6,71,0,B
26,F,162.1,56.9,0,B
29,M,166.8,69.2,0,D
46,M,167.2,71.1,0,D
61,M,161.1,66.1,0,D
21,M,173.7,73,0,D
32,F,151.2,52.4,0,A
27,M,171.8,74.8,1,B
22,M,179.4,70.5,1,B
58,M,177.7,73.9,0,B
26,M,172.3,65.9,1,B
21,F,164.2,64,1,A
59,M,169.4,75.9,1,C
24,F,173.3,65.3,0,D
45,M,168,62,0,A
22,M,179.4,78.6,0,A
35,M,191.6,125.7,0,D
28,M,169.1,64,1,B
29,F,158.4,57.22,0,B
60,M,169.7,73.9,0,B
22,M,184.9,73.9,0,A
21,F,172.8,54.8,1,C
37,M,173.4,70,1,C
35,F,154,47.6,0,A
26,F,170,58.9,1,A
57,F,161.3,59.8,0,D
29,M,177.9,65.2,1,B
35,M,181.5,98.5,0,A
38,M,167.7,67.9,1,B
28,M,164.3,63.2,0,D
63,M,167.4,59.8,1,C
47,M,167.8,68.8,0,A
57,M,168.2,74.5,1,C
30,M,180,85.08,0,A
35,M,164.6,66,1,B
24,M,165.7,63.5,0,D
28,F,158.6,45.8,0,B
59,M,174.5,72.4,0,B
42,M,172.1,65.74,0,D
45,M,164.7,56.1,0,A
51,F,163.3,55,0,B
39,F,162.1,45,0,B
40,M,169.5,75.6,0,D
25,F,163.5,56.18,1,C
58,F,155.6,82,0,D
29,M,181.2,94.72,0,A
24,M,172.1,72.4,0,D
58,M,167.5,65.5,0,B
38,F,156.3,44.9,0,D
62,M,172.1,71.52,1,C
35,F,156.4,48.5,0,A
31,F,159.3,47.9,0,A
51,M,163.5,53.8,0,A
24,M,174.9,75.1,1,C
30,M,175.2,71.5,0,A
36,M,172.5,80.8,1,B
36,F,158.5,53.56,0,A
26,F,160,62.4,1,A
39,M,175.5,88.1,0,D
28,M,169.1,70.8,1,C
31,M,175.1,76.2,0,A
32,M,167.1,69.5,1,C
21,F,153.9,58.8,0,B
60,M,164.3,74,0,B
23,M,172.8,76.4,1,C
21,M,186.4,92.5,1,C
45,F,164,51.7,0,D
31,M,168.5,68.2,0,A
31,M,168.4,63.38,0,A
26,M,169.9,95.5,0,D
43,F,162.7,51.1,1,C
28,F,168.6,60.2,1,C
21,M,157.5,45.5,0,D
26,M,170.3,64.6,0,D
21,F,168.2,77.9,1,C
21,M,169.3,71.1,1,C
37,M,172.1,72.5,0,D
61,M,167.2,69.7,1,C
29,F,160.7,49.24,0,A
59,F,163.3,62.54,1,A
21,M,173,70.3,1,B
21,M,171,67.3,0,A
26,M,176,80.5,0,A
31,M,166.9,73.6,0,A
25,F,158.1,56.3,0,D
23,F,166,55.8,0,B
36,M,170.4,66,0,A
25,F,163.8,54.2,0,A
44,M,185.6,87.1,1,B
34,M,158.3,64.1,0,D
64,M,160.5,67.9,0,D
23,F,158.7,67.2,0,B
42,F,165.4,65.9,1,A
28,F,159.6,50.8,0,B
22,M,176.5,69.88,1,B
61,M,167.4,57.1,1,C
22,M,166,76.1,0,A
32,M,163.5,70.4,0,D
56,F,158.6,59.74,0,B
25,M,170.7,66.8,0,A
21,M,185.8,83.6,0,D
23,F,152.7,48.08,0,A
28,F,153.6,54.7,1,C
23,M,172,72,0,D
45,F,155.9,58.2,1,C
60,M,172.5,73.9,0,B
33,M,168.7,62.3,0,D
53,M,170.4,68.8,0,B
22,M,169,73.8,1,C
45,M,167.4,82.9,0,D
31,M,185.3,93.14,1,C
25,M,185,88.1,1,C
39,M,169.9,62.7,1,C
22,F,163.3,57.2,1,C
26,M,181.9,87.3,1,C
35,F,151.7,44.1,1,C
28,M,180.1,75.4,1,C
39,M,184.4,85.7,0,D
29,M,171.5,75.36,0,D
40,M,180.1,82.4,0,A
46,M,168.4,75,0,B
29,F,159.6,61.9,1,C
26,M,165.9,68.7,0,A
36,M,176.7,72.7,0,A
27,F,174.4,64.4,1,A
36,M,168,83.5,1,B
24,F,161.7,50,0,D
26,F,163.5,52,0,A
23,F,175.1,70.8,1,C
48,F,153,51.7,1,C
56,M,162.7,74.8,0,D
23,M,179,78.6,1,C
44,M,167.1,59.9,1,B
21,F,163.3,45.3,0,D
42,M,174.7,76.2,0,D
52,F,159,59.5,0,B
26,M,171.1,72.7,1,C
29,M,184.3,89.5,1,B
21,F,163.4,55.92,1,A
60,F,162.6,63.2,1,C
25,F,163.5,54.5,0,A
23,M,162.6,63.8,0,D
24,F,163.7,61,0,D
53,M,180.8,78,0,D
51,F,159.6,79.9,0,D
37,F,163.9,67,0,D
37,F,155,71.1,0,D
37,M,172.6,78.26,0,D
23,M,175.2,70.8,1,C
61,F,153.3,52.3,1,C
50,M,167.8,69.6,0,A
38,F,170.6,62.8,1,C
35,M,179,79,0,A
26,F,154.5,60.4,0,B
25,M,172.5,62.4,0,A
62,M,176.5,70.9,1,C
34,F,159.4,69.2,0,B
32,F,153.6,49.4,1,C
27,F,166.3,52.3,0,B
33,M,169.3,71.1,1,C
30,M,172.9,82.7,0,D
56,M,168.9,72.28,0,A
29,M,187,85.3,0,A
36,M,167.9,65.5,0,A
47,F,158.2,55.9,0,D
64,F,153.3,66.3,1,A
55,M,172.9,67.5,1,C
27,F,151.5,49.8,0,A
38,F,166.6,64.6,1,A
24,M,174.8,72.4,1,B
41,F,165.2,67.5,1,C
58,F,157.8,57.6,0,B
28,M,178,82.2,0,D
23,F,163.1,55.2,1,C
58,M,168.7,76.1,0,D
21,F,158,52.4,1,C
34,M,171.1,68.4,0,A
50,M,177.8,86.3,0,D
62,F,149.1,60,0,B
27,M,174.5,76.8,0,A
52,M,145.8,58.6,0,D
44,F,155,62,0,D
23,F,168.8,59.3,1,A
59,M,170.8,72.3,0,B
24,M,181.4,86.8,1,C
28,M,178,83.46,0,A
60,F,169.3,61.3,1,A
41,M,176,78.4,1,B
60,M,164.7,55.8,0,B
57,F,154.3,62.7,0,B
23,F,165.9,55.5,0,D
33,M,172.7,66.1,0,A
37,F,167.8,70,0,D
63,M,167.6,57.5,0,B
26,M,172.1,73,1,B
26,F,170.4,66.8,1,C
63,F,150.2,51.9,0,B
21,M,177.6,74.5,0,A
57,M,175.5,82.3,0,D
26,M,172,76.7,0,D
50,M,173.6,68.9,0,A
43,F,159.9,56.4,1,C
61,M,177.8,78.1,1,C
21,M,172.5,71.3,0,D
56,M,167.3,54.7,0,B
39,M,178.3,80.3,1,C
61,M,159.4,56.3,0,D
26,F,158.2,60.9,1,A
25,M,171.9,80.5,0,D
29,F,162.5,57.2,1,A
25,F,159,50.3,0,A
45,F,159,50.1,0,A
27,M,176,70.8,1,B
27,F,168.1,72.7,0,D
26,M,176.1,73.7,1,B
50,M,165.5,71.6,0,D
22,M,170.3,63.1,1,C
35,M,168.1,67.6,0,A
27,M,171,63.5,0,D
24,M,170.2,79.7,0,D
25,M,162.9,60.3,1,C
21,M,171.9,61.4,1,C
64,M,163.4,62.1,0,B
21,M,179.1,70.5,1,C
60,F,153.2,50.2,0,D
52,M,169.3,68.8,0,B
35,M,173.7,68.5,1,B
35,M,169.7,97.26,0,D
58,M,177.4,73.2,0,A
41,M,170.2,85.4,1,B
23,M,182.8,88.8,0,D
47,M,176.5,77,0,B
30,M,180.3,89.2,1,C
62,F,162.8,58.2,0,B
48,M,179.2,79.7,0,D
57,F,160.4,62.4,0,B
32,M,175.7,61.3,0,D
30,M,167.2,60.6,1,B
23,M,168.7,61,1,B
23,M,179.6,67.6,1,C
61,M,177.5,68.4,1,C
53,F,163.9,60.8,0,D
27,F,163.2,53.8,0,A
47,F,164.7,55.3,0,B
47,F,159.9,52,0,A
34,M,175.6,89.5,0,D
27,M,173.6,69.2,0,A
21,F,152.5,47,0,D
22,M,187,101.3,0,D
21,F,160.7,49.6,0,A
38,M,176.6,69.1,0,A
32,M,176.1,75.5,1,C
54,F,156.8,60.6,1,C
23,F,155.8,50.4,0,B
26,M,176.3,75.02,1,C
22,F,170.8,66.5,1,A
61,M,167,62.92,1,C
32,M,179.3,86,1,B
48,M,175,84.3,0,D
37,F,161.2,53.6,0,D
34,M,169.4,77.1,1,B
26,F,165.3,55.4,0,B
45,F,149,45.9,0,D
21,M,174.4,72.8,1,C
30,F,161.9,67.9,0,B
48,M,168.1,68,0,D
29,F,163,58.9,0,B
58,F,160.2,57.2,0,D
39,F,159.8,53.7,0,A
26,M,183,71.1,1,B
26,F,160.7,70.4,0,B
39,M,173.9,65.5,0,A
26,M,186,79.3,0,D
21,M,178.7,65.4,0,A
21,M,172.8,79.5,0,D
43,M,175,69.5,0,A
33,M,184.5,108.3,0,D
28,M,172,68.6,0,A
30,M,179,68.8,0,A
61,F,159.6,63.1,1,C
26,M,183.3,77.7,1,B
44,F,156.3,62.1,0,D
54,M,174.4,74.4,0,D
31,M,168.1,74.4,0,D
51,M,166.1,70.9,0,B
59,M,178.9,83.6,0,D
27,M,182.6,74.42,0,A
42,F,158.1,62.1,0,B
21,F,172.9,68.36,0,D
59,F,153.4,53.3,1,C
27,M,178.8,66.4,1,C
21,M,172.6,71.7,1,B
22,F,165.3,51.5,0,A
28,F,165,76.5,1,A
23,M,172.5,67.5,0,D
27,M,176.5,70,1,B
26,M,179.9,82.5,0,D
56,F,159.5,53.9,0,B
22,F,158.9,52.6,0,D
49,M,167.7,72,0,B
24,F,161.1,48.1,0,A
39,M,171.8,70.1,0,A
23,M,183.2,74.4,1,B
21,M,177.2,70.4,0,D
57,M,169.9,69.5,1,C
21,M,175.3,80.3,0,A
60,F,157.5,59.4,1,A
44,M,185.3,82.7,0,D
21,M,169.5,76,0,D
26,F,168.5,57.58,1,A
24,M,161.1,53.7,0,A
48,F,170.1,83.5,0,D
63,M,163.4,56.64,1,C
25,M,180.9,91.2,1,B
49,M,171.3,71.9,0,B
60,M,170,74.8,0,B
28,M,179.7,74.1,1,C
21,M,171.2,65.5,1,C
23,M,179,86.9,1,C
38,M,177,75,0,A
28,M,181.9,78.4,0,A
23,F,163.6,54.7,0,A
21,F,169.5,83.7,0,D
45,M,180.9,78.6,0,D
24,F,163.7,53.4,1,C
27,M,174,70.5,1,C
58,F,150.4,60.8,0,D
31,M,174.2,83.3,1,C
23,M,167,59.6,0,D
29,M,182,77.2,1,C
22,M,183,78.3,0,D
44,F,159.7,58.8,1,C
21,M,183.3,76.5,1,B
23,F,168.1,55.9,1,C
56,M,178,71.9,1,C
24,F,165.7,58.2,1,A
23,M,175.3,77.5,0,D
58,M,168.6,100.4,0,D
48,M,172,75,0,D
21,M,183,67,0,D
26,M,179.9,83.4,0,D
63,M,167.2,73.3,0,A
25,M,179.7,79,0,A
32,M,170.3,66.3,0,A
59,F,152.6,61.5,0,D
36,M,179.1,72.3,1,B
40,M,183.7,97.7,0,D
29,M,170.5,68.4,1,B
27,M,171.8,70.4,1,B
24,F,166.6,50.5,0,A
33,F,163.7,49.1,0,B
49,M,176.9,73.2,1,C
32,M,191.4,93.3,0,D
57,F,155.4,53.8,0,A
28,M,178.8,68.3,0,D
52,M,174,73.2,1,C
28,F,162.8,56.8,1,A
44,F,164.5,63.6,1,A
21,F,162,48.3,1,C
58,M,170,79.8,0,D
27,M,171.8,75.1,1,C
64,M,166.2,62.5,0,B
25,M,172,65.9,1,B
28,F,171.5,64,1,A
